,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,latitude,longitude,Zona,fl_intermodalidade,fl_lte_5_km_estacao,fl_lte_5_km_pontos_turisticos,entire_home_apt_private_room_roteiro_turistico,acomodacao_alta_experiencia
20809,Shared room,4,1,1,8,80.0,4,5.0,-22.90173,-43.2797093,Zona Norte,1,1,0,0,0
20810,Entire home/apt,4,2,2,2,1050.0,15,5.0,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
20811,Private room,2,1,1,1,270.0,1,4.812309491059147,-22.9290845,-43.2534858,Zona Norte,1,1,1,1,1
20812,Entire home/apt,6,2,3,2,2050.0,1,4.812309491059147,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20813,Entire home/apt,5,1,1,2,627.0,4,3.25,-22.971974,-43.1842997,Zona Sul,1,1,1,1,0
20814,Entire home/apt,6,1,1,3,350.0,1,5.0,-22.8705266,-43.350194,Zona Norte,0,0,0,0,1
20815,Entire home/apt,4,2,2,3,250.0,1,4.812309491059147,-22.9279449,-43.2088566,Centro,1,1,1,1,1
20816,Entire home/apt,2,1,1,1,474.0,16,4.94,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20817,Entire home/apt,4,2,2,2,631.0,1,4.812309491059147,-22.9870911,-43.3049379,Zona Oeste,0,1,0,0,1
20818,Entire home/apt,2,1,1,1,443.0,39,4.87,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20819,Entire home/apt,4,1,1,2,652.0,32,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20820,Private room,2,4,1,1,229.0,2,4.0,-22.9515096,-43.1862969,Zona Sul,1,1,1,1,1
20821,Entire home/apt,4,2,1,1,880.0,28,4.86,-22.961704,-43.1669042,Zona Sul,1,1,1,1,1
20822,Private room,1,1,1,1,300.0,4,5.0,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
20823,Entire home/apt,6,2,2,3,1382.0,30,4.67,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20824,Private room,2,1,1,1,1000.0,1,5.0,-22.9531726,-43.3715825,Zona Oeste,0,0,0,0,1
20825,Private room,2,4,1,1,680.0,1,4.812309491059147,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20826,Entire home/apt,3,1,1,2,523.0,1,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20827,Entire home/apt,4,1,1,2,1200.0,5,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20828,Private room,4,1,1,2,1120.0,1,4.812309491059147,-22.9952094,-43.2408556,Zona Sul,0,0,1,1,1
20829,Entire home/apt,3,2,1,1,500.0,1,4.812309491059147,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20830,Entire home/apt,4,1,1,2,1054.0,11,4.45,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20831,Entire home/apt,1,1,1,1,1800.0,1,4.812309491059147,-22.9339841,-43.1745744,Zona Sul,1,1,1,1,1
20832,Entire home/apt,2,1,1,1,1190.0,30,4.7,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20833,Entire home/apt,4,1,3,3,600.0,3,4.33,-22.9343173,-43.1878165,Zona Sul,1,1,1,1,1
20834,Entire home/apt,6,3,3,4,1152.0,12,4.75,-23.0185151,-43.4634021,Zona Oeste,0,0,0,0,1
20835,Private room,2,0,1,1,397.0,5,4.8,-22.2800004,-42.5325303,Centro,0,0,0,0,1
20836,Private room,2,0,1,1,367.0,1,1.0,-22.2800004,-42.5325303,Centro,0,0,0,0,0
20837,Entire home/apt,3,1,1,2,406.0,4,4.75,-22.9112162,-43.2131983,Zona Norte,1,1,1,1,1
20838,Private room,3,2,1,1,499.0,3,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20839,Entire home/apt,2,1,1,1,318.0,22,4.68,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20840,Entire home/apt,4,1,1,2,650.0,26,4.88,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
20841,Entire home/apt,5,2,2,3,2400.0,1,4.812309491059147,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20842,Entire home/apt,4,1,1,2,1395.0,1,4.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20843,Entire home/apt,4,1,1,2,748.0,56,4.68,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20844,Entire home/apt,4,1,1,1,357.0,16,5.0,-22.9997404,-43.3659929,Zona Oeste,0,0,0,0,1
20845,Private room,2,1,1,1,350.0,5,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20846,Entire home/apt,4,1,1,2,523.0,20,4.9,-22.9269199,-43.1802186,Zona Sul,1,1,1,1,1
20847,Entire home/apt,4,3,2,2,2137.0,1,5.0,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
20848,Entire home/apt,4,2,1,2,1006.0,20,4.85,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20849,Entire home/apt,5,2,3,4,1314.0,4,4.5,-22.9834608,-43.2249656,Zona Sul,0,1,1,1,1
20850,Entire home/apt,2,1,1,1,571.0,1,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20851,Entire home/apt,6,3,3,3,1646.0,22,4.59,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20852,Entire home/apt,3,1,1,1,1000.0,1,5.0,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20853,Entire home/apt,4,1,1,2,1267.0,4,5.0,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
20854,Entire home/apt,4,1,1,3,549.0,20,4.75,-22.9515096,-43.1862969,Zona Sul,1,1,1,1,1
20855,Entire home/apt,2,1,1,0,357.0,7,4.57,-22.954074,-43.1679727,Zona Sul,1,1,1,1,1
20856,Entire home/apt,4,1,1,2,943.0,39,4.9,-22.971974,-43.1842997,Zona Sul,1,1,1,1,1
20857,Entire home/apt,4,1,1,2,249.0,24,5.0,-22.2800004,-42.5325303,Centro,0,0,0,0,1
20858,Entire home/apt,2,1,1,1,1326.0,87,4.95,-22.9839557,-43.2022163,Zona Sul,1,1,1,1,1
